City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,Magadan,59.5667,150.8,-25.45,96,43,3.43,RU,1701692818
79,Saint-Philippe,-21.3585,55.7679,26.77,73,33,3.17,RE,1701692819
80,Mount Isa,-20.7333,139.5,26.87,41,0,1.54,AU,1701692820
81,Axim,4.8699,-2.2405,30.29,66,23,3.43,GH,1701692821
82,Avarua,-21.2078,-159.775,24.03,83,75,1.54,CK,1701692822
83,Dudinka,69.4058,86.1778,-32.99,96,16,2.68,RU,1701692824
84,Altai,46.3722,96.2583,-6.84,69,78,7.7,MN,1701692825
85,Akjoujt,19.6969,-14.4164,31.13,18,57,3.46,MR,1701692826
86,Le Port,-20.9373,55.2919,27.0,86,17,3.52,RE,1701692827
87,Tolanaro,-25.0319,46.9987,28.04,57,40,10.29,MG,1701692828
88,Enewetak,11.3474,162.3373,27.87,71,99,9.38,MH,1701692829
89,Margaret River,-33.95,115.0667,16.38,71,100,4.12,AU,1701692553
90,Lincoln,40.8,-96.667,-2.68,92,26,2.65,US,1701692712
91,Klyuchi,52.2667,79.1667,-8.56,75,100,3.93,RU,1701692833
92,Weno,7.4515,151.8468,27.97,83,40,1.54,FM,1701692834
93,Oranjemund,-28.55,16.4333,20.71,59,0,9.5,NA,1701692835
94,Lazaro Cardenas,17.9583,-102.2,24.21,83,99,1.64,MX,1701692836
95,Karwar,14.8,74.1333,28.22,68,84,4.04,IN,1701692837
96,Iskateley,67.6803,53.1512,-18.88,95,99,4.47,RU,1701692838
97,Tofol,5.3248,163.0078,26.63,88,100,8.26,FM,1701692839
98,New Norfolk,-42.7826,147.0587,17.72,75,76,1.14,AU,1701692840
99,Massawa,15.6097,39.45,32.41,39,6,3.18,ER,1701692841
100,Sinabang,2.4803,96.3801,27.14,80,86,3.27,ID,1701692842
101,Ola,59.5833,151.2833,-26.26,94,49,3.66,RU,1701692843
102,Murun-Kuren,49.6342,100.1625,-5.38,64,77,8.24,MN,1701692843
103,Kolokani,13.5728,-8.0339,34.66,11,30,6.42,ML,1701692844
104,Richards Bay,-28.783,32.0377,30.98,52,81,5.64,ZA,1701692845
105,Lebu,-37.6167,-73.65,12.42,66,0,7.38,CL,1701692846
106,Qaqortoq,60.7167,-46.0333,-4.02,72,100,4.33,GL,1701692847
107,Ponta Delgada,37.7333,-25.6667,18.44,59,40,4.47,PT,1701692848
108,Anadyr,64.75,177.4833,-19.72,84,20,5.0,RU,1701692849
109,Ushuaia,-54.8,-68.3,11.79,54,0,2.06,AR,1701692850
110,Talnakh,69.4865,88.3972,-33.22,80,17,0.6,RU,1701692851
111,Mawlaik,23.6333,94.4167,22.7,77,100,0.6,MM,1701692852
112,Udachny,66.4167,112.4,-36.42,73,97,1.53,RU,1701692852
113,Saint-Joseph,-21.3667,55.6167,26.21,72,20,3.02,RE,1701692853
114,San Luis De La Loma,17.2706,-100.8939,24.45,74,95,1.89,MX,1701692854
115,Cabo San Lucas,22.8909,-109.9124,21.4,79,0,0.45,MX,1701692580
116,Lompoc,34.6391,-120.4579,14.88,85,0,4.02,US,1701692681
117,Sibi,29.5448,67.8764,24.98,16,0,2.35,PK,1701692857
118,Usogorsk,63.4106,48.6872,-16.42,99,100,1.29,RU,1701692858
119,Greymouth,-42.4667,171.2,10.75,90,4,2.12,NZ,1701692859
120,Georgetown,5.4112,100.3354,28.96,81,20,4.12,MY,1701692612
121,Stephenville,32.2207,-98.2023,6.54,65,0,0.0,US,1701692641
122,Atafu Village,-8.5421,-172.5159,29.2,75,34,6.89,TK,1701692861
123,Arraial Do Cabo,-22.9661,-42.0278,27.98,78,40,4.63,BR,1701692752
124,Nabire,-3.3667,135.4833,25.67,91,100,1.1,ID,1701692863
125,Celestun,20.8667,-90.4,23.02,95,48,2.81,MX,1701692864
126,Gualaceo,-2.9,-78.7833,17.81,92,89,1.16,EC,1701692865
127,Khorixas,-20.3667,14.9667,31.11,31,98,5.34,NA,1701692865
128,Bikenibeu Village,1.3673,173.1241,25.98,89,100,3.09,KI,1701692866
129,Vico Del Gargano,41.8983,15.9576,9.7,63,86,1.48,IT,1701692867
130,Tokar,18.4254,37.729,32.49,42,8,10.74,SD,1701692868
131,Polyarnyy,69.1989,33.4478,-6.7,94,100,3.68,RU,1701692869
132,Port Saint John'S,-31.6229,29.5448,24.18,72,92,4.29,ZA,1701692870
133,Boac,13.4463,121.84,26.72,86,41,3.5,PH,1701692870
134,Barlinek,52.9946,15.2186,0.04,85,76,3.76,PL,1701692871
135,Saipan,15.1355,145.701,27.39,83,20,8.23,MP,1701692872
136,Albany,42.6001,-73.9662,6.05,94,93,0.89,US,1701692873
137,Vorgashor,67.5833,63.95,-27.65,91,23,2.61,RU,1701692873
138,Ginir,7.1333,40.7,22.01,26,46,4.43,ET,1701692874
139,Akureyri,65.6835,-18.0878,-8.04,86,75,1.54,IS,1701692875
